"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test login page load performance.","510","test_login_page_load_performance","tests.ui.login","2026-05-12","passed","2026-05-12","TestLoginPage","test_login","",""
"Test login with valid credentials.","1605","test_login_with_valid_credentials","tests.ui.login","2026-05-12","passed","2026-05-12","TestLoginPage","test_login","",""
"Test login functionality with Enter key.","5279","test_login_with_enter_key","tests.ui.login","2026-05-12","passed","2026-05-12","TestLoginPage","test_login","",""
"Test login with special characters in credentials.","1038","test_login_with_special_characters","tests.ui.login","2026-05-12","passed","2026-05-12","TestLoginPage","test_login","",""
"Test login error message content and display.","1082","test_login_error_message_content","tests.ui.login","2026-05-12","passed","2026-05-12","TestLoginPage","test_login","",""
"Test forgot password link navigation.","3872","test_forgot_password_link_navigation","tests.ui.login","2026-05-12","passed","2026-05-12","TestLoginPage","test_login","",""
"Test login page title.","537","test_login_page_title","tests.ui.login","2026-05-12","passed","2026-05-12","TestLoginPage","test_login","",""
"Test navigation menu is visible after login.","1465","test_navigation_menu_visible","tests.ui.login","2026-05-12","passed","2026-05-12","TestHomePage","test_login","",""
"Test login with very long credentials.","1089","test_login_with_very_long_credentials","tests.ui.login","2026-05-12","passed","2026-05-12","TestLoginPage","test_login","",""
"Test login form JavaScript functionality.","1189","test_login_form_javascript_functionality","tests.ui.login","2026-05-12","passed","2026-05-12","TestLoginPage","test_login","",""
"Test login form responsive design.","531","test_login_form_responsive_design","tests.ui.login","2026-05-12","passed","2026-05-12","TestLoginPage","test_login","",""
"Test login data privacy and security.","467","test_login_data_privacy","tests.ui.login","2026-05-12","passed","2026-05-12","TestLoginPage","test_login","",""
"Test login page localization elements.","401","test_login_page_localization_elements","tests.ui.login","2026-05-12","passed","2026-05-12","TestLoginPage","test_login","",""
"Test login fails with empty credentials.","1017","test_login_with_empty_credentials","tests.ui.login","2026-05-12","passed","2026-05-12","TestLoginPage","test_login","",""
"Test login with invalid credentials.","1301","test_login_with_invalid_credentials","tests.ui.login","2026-05-12","passed","2026-05-12","TestLoginPage","test_login","",""
"Test clearing login form functionality.","634","test_clear_login_form","tests.ui.login","2026-05-12","passed","2026-05-12","TestLoginPage","test_login","",""
"Test home page loads successfully after login.","1432","test_home_page_loads_after_login","tests.ui.login","2026-05-12","passed","2026-05-12","TestHomePage","test_login","",""
"Test complete login and logout workflow.","2150","test_complete_login_logout_workflow","tests.ui.login","2026-05-12","passed","2026-05-12","TestLoginPage","test_login","",""
"Test login fails with empty username.","1067","test_login_with_empty_username","tests.ui.login","2026-05-12","passed","2026-05-12","TestLoginPage","test_login","",""
"Test register link navigation.","6056","test_register_link_navigation","tests.ui.login","2026-05-12","passed","2026-05-12","TestLoginPage","test_login","",""
"Test login response time.","1266","test_login_response_time","tests.ui.login","2026-05-12","passed","2026-05-12","TestLoginPage","test_login","",""
"Test login fails with empty password.","1085","test_login_with_empty_password","tests.ui.login","2026-05-12","passed","2026-05-12","TestLoginPage","test_login","",""
"Test login form accessibility features.","520","test_login_form_accessibility","tests.ui.login","2026-05-12","passed","2026-05-12","TestLoginPage","test_login","",""
"Test that password field is properly masked.","474","test_password_field_is_masked","tests.ui.login","2026-05-12","passed","2026-05-12","TestLoginPage","test_login","",""
"Test that login page loads with all required elements.","15918","test_login_page_loads_correctly","tests.ui.login","2026-05-12","passed","2026-05-12","TestLoginPage","test_login","",""
"Test login form validation and state.","434","test_login_form_validation","tests.ui.login","2026-05-12","passed","2026-05-12","TestLoginPage","test_login","",""
